invoice_id,supplier_name,total_amount,paid_amount,payment_state,team,invoice_date,due_date,purchase_order,region,risk_category
BILL-1001,Atlas Cloud,7800,7800,Paid,Engineering,2026-03-05,2026-04-04,PO-A101,East,Low
BILL-1002,NorthStar Security,15500,0,Unpaid,Security,2026-03-10,2026-04-09,Missing,West,High
BILL-1003,DataBridge AI,4200,3900,Mismatch,AI,2026-03-15,2026-04-14,PO-A103,East,Medium
BILL-1004,FinOps Pro,23000,23000,Paid,Finance,2026-03-18,2026-04-17,PO-A104,Central,Medium
BILL-1005,CloudRack Systems,9800,0,Pending,Cloud,2026-03-22,2026-04-21,PO-A105,South,Medium
BILL-1006,SecureMatrix,17200,0,Unpaid,Security,2026-04-01,2026-05-01,Missing,East,High
BILL-1007,Vertex Automation,6400,6400,Paid,Operations,2026-04-03,2026-05-03,PO-A107,West,Low
BILL-1008,AI Workflow Labs,12500,12000,Mismatch,AI,2026-04-07,2026-05-07,PO-A108,Central,High
BILL-1009,Nova Hosting,5100,5100,Paid,Cloud,2026-04-10,2026-05-10,PO-A109,South,Low
BILL-1010,Quantum Ledger,18800,0,Unpaid,Finance,2026-04-13,2026-05-13,Missing,East,High
BILL-1011,BluePeak Analytics,7200,7200,Paid,Analytics,2026-04-16,2026-05-16,PO-A111,West,Low
BILL-1012,Omega Compliance,13400,13400,Paid,Legal,2026-04-20,2026-05-20,PO-A112,Central,Medium
BILL-1013,RapidData Inc,4500,0,Pending,Analytics,2026-04-25,2026-05-25,PO-A113,South,Medium
BILL-1014,CyberShield LLC,21500,20000,Mismatch,Security,2026-04-28,2026-05-28,PO-A114,East,High
BILL-1015,GreenByte Cloud,8700,8700,Paid,Cloud,2026-05-01,2026-05-31,PO-A115,West,Low
