InvoiceID,Vendor,InvoiceAmount,PaymentAmount,PaymentStatus,Department,DueDate,PONumber,RiskCategory
BILL-1001,Atlas Cloud,7800,7800,Paid,Engineering,2026-05-01,PO-9001,Low
BILL-1002,SecureOps,18500,0,Unpaid,Security,2026-05-03,Missing,High
BILL-1003,Nova Analytics,6200,5000,Mismatch,Analytics,2026-05-08,PO-9003,Medium
BILL-1004,BluePeak AI,15000,15000,Paid,AI,2026-05-12,PO-9004,Medium
BILL-1005,Quantum Finance,22000,0,Unpaid,Finance,2026-05-18,Missing,High
BILL-1006,CloudMatrix,9700,9700,Paid,Cloud,2026-05-21,PO-9006,Low
BILL-1007,CyberShield,14500,12000,Mismatch,Security,2026-05-24,PO-9007,High
BILL-1008,Insight Robotics,4100,4100,Paid,Operations,2026-05-27,PO-9008,Low
BILL-1009,DataBridge,13000,0,Pending,Analytics,2026-06-01,PO-9009,Medium
BILL-1010,GreenByte,8400,8400,Paid,Cloud,2026-06-05,PO-9010,Low
BILL-1011,Omega Compliance,19900,0,Unpaid,Legal,2026-06-08,Missing,High
BILL-1012,RapidScale,5600,5600,Paid,Engineering,2026-06-12,PO-9012,Low
BILL-1013,NextWave Systems,17200,17200,Paid,Security,2026-06-15,PO-9013,Medium
BILL-1014,CyberShield LLC,21500,20000,Mismatch,Security,2026-06-20,PO-A114,High
BILL-1015,Vertex Finance,9800,0,Unpaid,Finance,2026-06-22,Missing,High
